# ==========================================================
# VladiMIR IP Blacklist — Full Database (CSV)
# Columns: ip,reason,source_server,date_added,source,duration
# Updated: 2026-06-10 15:55:01 | Total: 138 entries
# = Rooted by VladiMIR + AI | v.2026-06-10 | github.com/GinCz =
# ==========================================================
ip,reason,source_server,date_added,source,duration
195.178.110.105,crowdsecurity/http-wordpress_wpconfig,109-RU-FirstVDS,2026-06-10,crowdsec,1h28m46s
20.104.56.95,crowdsecurity/http-crawl-non_statics,109-RU-FirstVDS,2026-06-10,crowdsec,3h9m42s
20.217.81.166,crowdsecurity/http-probing,109-RU-FirstVDS,2026-06-10,crowdsec,1h40m33s
20.219.39.254,crowdsecurity/http-crawl-non_statics,109-RU-FirstVDS,2026-06-10,crowdsec,1h42m52s
20.227.136.34,crowdsecurity/http-probing,109-RU-FirstVDS,2026-06-10,crowdsec,1h22m27s
20.58.164.80,crowdsecurity/http-crawl-non_statics,109-RU-FirstVDS,2026-06-10,crowdsec,46m39s
206.189.151.195,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m47s
207.241.173.215,custom/slow-scanner,222-EU-NetCup,2026-06-10,crowdsec,164h31m54s
20.78.148.25,crowdsecurity/http-crawl-non_statics,109-RU-FirstVDS,2026-06-10,crowdsec,2h40m31s
208.84.101.127,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,3h48m36s
20.89.43.232,crowdsecurity/http-crawl-non_statics,109-RU-FirstVDS,2026-06-10,crowdsec,47m53s
213.171.208.62,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m49s
220.196.191.58,crowdsecurity/ssh-bf,109-RU-FirstVDS,2026-06-10,crowdsec,1h10m22s
221.153.50.115,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,21h35m53s
223.27.18.80,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,21h35m50s
2.58.56.131,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,717h4m15s
2.58.56.44,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,716h38m32s
2602:fb54:1a00::1c3,custom/slow-scanner,222-EU-NetCup,2026-06-10,crowdsec,718h4m24s
2602:fb54:1a00::94,custom/slow-scanner,222-EU-NetCup,2026-06-10,crowdsec,717h24m22s
27.79.0.80,crowdsecurity/ssh-bf,Shahin-227,2026-06-10,crowdsec,1h59m55s
27.79.0.80,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h59m57s
27.79.0.80,crowdsecurity/ssh-bf,Tatra-9,2026-06-10,crowdsec,1h59m15s
27.79.0.80,crowdsecurity/ssh-slow-bf,4Ton-237,2026-06-10,crowdsec,1h59m40s
27.79.0.80,crowdsecurity/ssh-slow-bf,Alex-47,2026-06-10,crowdsec,2h3m26s
27.79.0.80,crowdsecurity/ssh-slow-bf,ILYA-176,2026-06-10,crowdsec,2h1m34s
31.220.88.107,crowdsecurity/http-bad-user-agent,109-RU-FirstVDS,2026-06-10,crowdsec,2h3m28s
34.129.78.239,crowdsecurity/http-probing,109-RU-FirstVDS,2026-06-10,crowdsec,3h30m28s
34.151.248.221,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,25m18s
34.153.135.8,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,23h58m33s
34.159.181.54,wp-login-attack-sos-manual,109-RU-FirstVDS,2026-06-10,crowdsec,697h57m48s
34.174.218.92,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,41s
34.174.44.105,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,47m47s
34.175.118.193,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,2h14m58s
34.20.137.183,crowdsecurity/http-bad-user-agent,109-RU-FirstVDS,2026-06-10,crowdsec,22m40s
34.94.31.72,crowdsecurity/http-crawl-non_statics,109-RU-FirstVDS,2026-06-10,crowdsec,33m2s
35.199.68.101,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,3h53m23s
35.206.111.229,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,717h43m9s
35.208.176.40,crowdsecurity/http-bad-user-agent,222-EU-NetCup,2026-06-10,crowdsec,719h34m11s
35.246.137.10,crowdsecurity/http-probing,222-EU-NetCup,2026-06-10,crowdsec,1m42s
4.194.3.176,crowdsecurity/http-crawl-non_statics,109-RU-FirstVDS,2026-06-10,crowdsec,3h15m38s
43.164.132.92,crowdsecurity/ssh-bf,Alex-47,2026-06-10,crowdsec,6
45.134.213.200,crowdsecurity/ssh-bf,Stolb-24,2026-06-10,crowdsec,1h39m53s
45.148.10.62,crowdsecurity/http-sensitive-files,109-RU-FirstVDS,2026-06-10,crowdsec,2h33m0s
45.156.87.13,crowdsecurity/ssh-slow-bf,222-EU-NetCup,2026-06-10,crowdsec,20h45m8s
